Bahis Tipi,Tercih
Maç Sonucu,MS1
Maç Sonucu,MS0
Maç Sonucu,MS2
Toplam Gol Alt / Üst,0.5 ALT
Toplam Gol Alt / Üst,0.5 ÜST
Toplam Gol Alt / Üst,1.5 ALT
Toplam Gol Alt / Üst,1.5 ÜST
Toplam Gol Alt / Üst,2.5 ALT
Toplam Gol Alt / Üst,2.5 ÜST
Toplam Gol Alt / Üst,3.5 ALT
Toplam Gol Alt / Üst,3.5 ÜST
İlk Yarı / Maç Sonucu,1 / 1
İlk Yarı / Maç Sonucu,1 / 0
İlk Yarı / Maç Sonucu,1 / 2
İlk Yarı / Maç Sonucu,0 / 1
İlk Yarı / Maç Sonucu,0 / 0
İlk Yarı / Maç Sonucu,0 / 2
İlk Yarı / Maç Sonucu,2 / 1
İlk Yarı / Maç Sonucu,2 / 0
İlk Yarı / Maç Sonucu,2 / 2
Karşılıklı Gol,VAR
Karşılıklı Gol,YOK
İlk Yarı Alt / Üst,0.5 ALT
İlk Yarı Alt / Üst,0.5 ÜST
İlk Yarı Alt / Üst,1.5 ALT
İlk Yarı Alt / Üst,1.5 ÜST
İlk Yarı Alt / Üst,2.5 ALT
İlk Yarı Alt / Üst,2.5 ÜST
İlk Yarı Sonucu,1
İlk Yarı Sonucu,0
İlk Yarı Sonucu,2
Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Alt
Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Alt
Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Alt
Maç Sonucu ve Alt / Üst 1.5,1 ve 1.5 Üst
Maç Sonucu ve Alt / Üst 1.5,0 ve 1.5 Üst
Maç Sonucu ve Alt / Üst 1.5,2 ve 1.5 Üst
Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Alt
Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Alt
Maç Sonucu ve Alt / Üst 2.5,2 ve 2.5 Alt
Maç Sonucu ve Alt / Üst 2.5,1 ve 2.5 Üst
Maç Sonucu ve Alt / Üst 2.5,0 ve 2.5 Üst
Maç Sonucu ve Alt / Üst 2.5,2 ve 1.5 Üst
Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Alt
Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Alt
Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Alt
Maç Sonucu ve Alt / Üst 3.5,1 ve 3.5 Üst
Maç Sonucu ve Alt / Üst 3.5,0 ve 3.5 Üst
Maç Sonucu ve Alt / Üst 3.5,2 ve 3.5 Üst
Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Alt
Maç Sonucu ve Alt / Üst 4.5,0 ve 4.5 Alt
Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Alt
Maç Sonucu ve Alt / Üst 4.5,1 ve 4.5 Üst
Maç Sonucu ve Alt / Üst 4.5,0 ve 4.5 Üst
Maç Sonucu ve Alt / Üst 4.5,2 ve 4.5 Üst
Çifte Şans,1 ve 0
Çifte Şans,1 ve 2
Çifte Şans,0 ve 2
Ev Sahibi Alt / Üst,0.5 Alt
Ev Sahibi Alt / Üst,0.5 Üst
Ev Sahibi Alt / Üst,1.5 Alt
Ev Sahibi Alt / Üst,1.5 Üst
Ev Sahibi Alt / Üst,2.5 Alt
Ev Sahibi Alt / Üst,2.5 Üst
Deplasman Alt / Üst,0.5 Alt
Deplasman Alt / Üst,0.5 Üst
Deplasman Alt / Üst,1.5 Alt
